STOP_FRISK_DATE_STOP_FRISK_TIME,SUSPECTED_CRIME_DESCRIPTION,SUSPECT_ARRESTED_FLAG,PHYSICAL_FORCE_DRAW_POINT_FIREARM_FLAG,PHYSICAL_FORCE_HANDCUFF_SUSPECT_FLAG,PHYSICAL_FORCE_OC_SPRAY_USED_FLAG,PHYSICAL_FORCE_OTHER_FLAG,PHYSICAL_FORCE_RESTRAINT_USED_FLAG,PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG,PHYSICAL_FORCE_WEAPON_IMPACT_FLAG,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,STOP_LOCATION_PRECINCT,PHYSICAL_FORCE_USED_TOTAL,PHYSICAL_FORCE_USED_TF,AGE_CATEGORY,TOTAL_STOPS,SUSPECT_NOT_ARRESTED_FLAG
2021-01-01 00:30:00,CRIMINAL POSSESION OF WEAPON,1,0,0,0,0,0,1,0,28,MALE,BLACK,73,1,True,Twentyone-Twentyeight,1,0
2021-01-01 00:45:00,CRIMINAL POSSESION OF WEAPON,1,0,0,0,0,0,1,0,18,MALE,BLACK,48,1,True,Twenty and Under,1,0
2021-01-01 01:00:00,CRIMINAL POSSESION OF WEAPON,0,0,0,0,0,0,1,0,20,MALE,BLACK,48,1,True,Twenty and Under,1,1
2021-01-01 01:06:00,CRIMINAL POSSESSION OF FORGED INSTRUMENT,0,0,0,0,1,0,0,0,18,MALE,UNKNOWN,18,1,True,Twenty and Under,1,1
2021-01-01 01:21:00,CRIMINAL POSSESION OF WEAPON,0,0,0,0,0,0,1,0,33,MALE,BLACK,42,1,True,Twentyeight-Thirtyeight,1,1
2021-01-01 01:25:00,CRIMINAL POSSESION OF WEAPON,0,0,0,0,0,0,1,0,24,MALE,BLACK,46,1,True,Twentyone-Twentyeight,1,1
2021-01-01 01:25:00,CRIMINAL POSSESION OF WEAPON,0,0,0,0,0,0,1,0,27,MALE,BLACK,46,1,True,Twentyone-Twentyeight,1,1
2021-01-01 01:43:00,CRIMINAL POSSESION OF WEAPON,1,0,1,0,0,0,1,0,22,MALE,BLACK,73,2,True,Twentyone-Twentyeight,1,0
2021-01-01 01:50:00,CRIMINAL POSSESION OF WEAPON,1,0,1,0,0,0,0,0,40,MALE,BLACK,42,1,True,Thirtyeight-Above,1,0
2021-01-01 02:15:00,MENACING,1,0,0,0,0,0,1,0,24,MALE,WHITE HISPANIC,50,1,True,Twentyone-Twentyeight,1,0
